id,status,category,content_type,search_intent,main_keyword,expanded_keywords,title,quality_score,duplicate_status,cannibalization_status,max_existing_similarity,nearest_existing_title,decision_reason
11,pass,핏·착화감,blog,문제해결,러닝화 발등 압박,레이스홀|앞볼 압박|토박스 공간,"러닝화 발등 압박 문제 신호, 레이스홀부터 앞볼 압박까지",93,unique,clear,0.62,"러닝화 발등 압박 문제 신호, 발등 저림부터 러너스 루프까지",기존 일반 키워드를 상황·모델·행동 기준으로 분화
12,pass,핏·착화감,blog,문제해결,러닝화 앞코 여유,러너스 루프|토박스 공간|뒤꿈치 고정,"러닝화 앞코 여유 안 맞는 이유, 러너스 루프·토박스 공간 확인",95,unique,clear,0.42,"러닝화 앞코 여유 안 맞는 이유, 새끼발가락·장거리 붓기 확인",기존 일반 키워드를 상황·모델·행동 기준으로 분화
13,pass,핏·착화감,blog,문제해결,러닝화 토박스,장거리 붓기|뒤꿈치 고정|발등 저림,"러닝화 토박스 불편할 때, 장거리 붓기와 뒤꿈치 고정 점검",93,unique,clear,0.62,"러닝화 뒤꿈치 뜸 불편할 때, 새끼발가락와 장거리 붓기 점검",기존 일반 키워드를 상황·모델·행동 기준으로 분화
14,pass,핏·착화감,blog,문제해결,러닝화 끈 묶기,앞볼 압박|발등 저림|새끼발가락,"러닝화 끈 묶기 문제 신호, 앞볼 압박부터 발등 저림까지",93,unique,clear,0.65,"러닝화 발등 압박 문제 신호, 발등 저림부터 러너스 루프까지",기존 일반 키워드를 상황·모델·행동 기준으로 분화
15,pass,핏·착화감,blog,문제해결,러닝화 발가락 통증,토박스 공간|새끼발가락|레이스홀,"러닝화 발가락 통증 안 맞는 이유, 토박스 공간·새끼발가락 확인",95,unique,clear,0.54,"러닝화 앞코 여유 안 맞는 이유, 러너스 루프·토박스 공간 확인",기존 일반 키워드를 상황·모델·행동 기준으로 분화
16,pass,핏·착화감,blog,문제해결,러닝화 양말 두께,새끼발가락|장거리 붓기|앞볼 압박,"러닝화 양말 두께 안 맞는 이유, 새끼발가락·장거리 붓기 확인",95,unique,clear,0.74,"러닝화 앞코 여유 안 맞는 이유, 새끼발가락·장거리 붓기 확인",기존 일반 키워드를 상황·모델·행동 기준으로 분화
17,pass,핏·착화감,blog,문제해결,러닝화 뒤꿈치 뜸,러너스 루프|토박스 공간|토박스 공간,"러닝화 뒤꿈치 뜸 불편할 때, 러너스 루프와 토박스 공간 점검",93,unique,clear,0.56,"러닝화 뒤꿈치 뜸 불편할 때, 뒤꿈치 고정와 레이스홀 점검",기존 일반 키워드를 상황·모델·행동 기준으로 분화
18,pass,핏·착화감,blog,문제해결,러닝화 발등 압박,장거리 붓기|뒤꿈치 고정|뒤꿈치 고정,"러닝화 발등 압박 문제 신호, 장거리 붓기부터 뒤꿈치 고정까지",93,unique,clear,0.52,"러닝화 끈 묶기 문제 신호, 앞볼 압박부터 발등 저림까지",기존 일반 키워드를 상황·모델·행동 기준으로 분화
19,pass,핏·착화감,blog,문제해결,러닝화 앞코 여유,앞볼 압박|발등 저림|발등 저림,"러닝화 앞코 여유 안 맞는 이유, 앞볼 압박·발등 저림 확인",95,unique,clear,0.52,"러닝화 앞코 여유 안 맞는 이유, 러너스 루프·토박스 공간 확인",기존 일반 키워드를 상황·모델·행동 기준으로 분화
20,pass,핏·착화감,blog,문제해결,러닝화 토박스,토박스 공간|새끼발가락|새끼발가락,"러닝화 토박스 불편할 때, 토박스 공간와 새끼발가락 점검",93,unique,clear,0.56,"러닝화 뒤꿈치 뜸 불편할 때, 러너스 루프와 토박스 공간 점검",기존 일반 키워드를 상황·모델·행동 기준으로 분화
21,pass,핏·착화감,blog,문제해결,러닝화 끈 묶기,뒤꿈치 고정|레이스홀|레이스홀,"러닝화 끈 묶기 문제 신호, 뒤꿈치 고정부터 레이스홀까지",93,unique,clear,0.55,"러닝화 발등 압박 문제 신호, 장거리 붓기부터 뒤꿈치 고정까지",기존 일반 키워드를 상황·모델·행동 기준으로 분화
22,pass,핏·착화감,blog,문제해결,러닝화 발가락 통증,발등 저림|러너스 루프|러너스 루프,"러닝화 발가락 통증 안 맞는 이유, 발등 저림·러너스 루프 확인",95,unique,clear,0.57,"러닝화 발가락 통증 안 맞는 이유, 토박스 공간·새끼발가락 확인",기존 일반 키워드를 상황·모델·행동 기준으로 분화
23,pass,핏·착화감,blog,문제해결,러닝화 물집,새끼발가락|장거리 붓기|장거리 붓기,"러닝화 물집 불편할 때, 새끼발가락와 장거리 붓기 점검",93,unique,clear,0.77,"러닝화 뒤꿈치 뜸 불편할 때, 새끼발가락와 장거리 붓기 점검",기존 일반 키워드를 상황·모델·행동 기준으로 분화
24,pass,핏·착화감,blog,문제해결,러닝화 양말 두께,러너스 루프|토박스 공간|토박스 공간,"러닝화 양말 두께 안 맞는 이유, 러너스 루프·토박스 공간 확인",95,unique,clear,0.72,"러닝화 앞코 여유 안 맞는 이유, 러너스 루프·토박스 공간 확인",기존 일반 키워드를 상황·모델·행동 기준으로 분화
25,pass,핏·착화감,blog,문제해결,러닝화 뒤꿈치 뜸,앞볼 압박|발등 저림|뒤꿈치 고정,"러닝화 뒤꿈치 뜸 불편할 때, 앞볼 압박와 발등 저림 점검",93,unique,clear,0.75,"러닝화 물집 불편할 때, 앞볼 압박와 발등 저림 점검",기존 일반 키워드를 상황·모델·행동 기준으로 분화
26,pass,핏·착화감,blog,문제해결,러닝화 앞코 여유,뒤꿈치 고정|레이스홀|새끼발가락,"러닝화 앞코 여유 안 맞는 이유, 뒤꿈치 고정·레이스홀 확인",95,unique,clear,0.72,"러닝화 양말 두께 안 맞는 이유, 뒤꿈치 고정·레이스홀 확인",기존 일반 키워드를 상황·모델·행동 기준으로 분화
27,pass,핏·착화감,blog,문제해결,러닝화 토박스,발등 저림|러너스 루프|레이스홀,"러닝화 토박스 불편할 때, 발등 저림와 러너스 루프 점검",93,unique,clear,0.62,"러닝화 뒤꿈치 뜸 불편할 때, 러너스 루프와 토박스 공간 점검",기존 일반 키워드를 상황·모델·행동 기준으로 분화
28,pass,핏·착화감,blog,문제해결,러닝화 끈 묶기,새끼발가락|장거리 붓기|러너스 루프,"러닝화 끈 묶기 문제 신호, 새끼발가락부터 장거리 붓기까지",93,unique,clear,0.55,"러닝화 발등 압박 문제 신호, 장거리 붓기부터 뒤꿈치 고정까지",기존 일반 키워드를 상황·모델·행동 기준으로 분화
29,pass,핏·착화감,blog,문제해결,러닝화 발가락 통증,레이스홀|앞볼 압박|장거리 붓기,"러닝화 발가락 통증 안 맞는 이유, 레이스홀·앞볼 압박 확인",95,unique,clear,0.63,"러닝화 발가락 통증 안 맞는 이유, 토박스 공간·새끼발가락 확인",기존 일반 키워드를 상황·모델·행동 기준으로 분화
30,pass,핏·착화감,blog,문제해결,러닝화 물집,러너스 루프|토박스 공간|앞볼 압박,"러닝화 물집 불편할 때, 러너스 루프와 토박스 공간 점검",93,unique,clear,0.75,"러닝화 뒤꿈치 뜸 불편할 때, 러너스 루프와 토박스 공간 점검",기존 일반 키워드를 상황·모델·행동 기준으로 분화
31,pass,핏·착화감,blog,문제해결,러닝화 양말 두께,앞볼 압박|발등 저림|뒤꿈치 고정,"러닝화 양말 두께 안 맞는 이유, 앞볼 압박·발등 저림 확인",95,unique,clear,0.75,"러닝화 앞코 여유 안 맞는 이유, 앞볼 압박·발등 저림 확인",기존 일반 키워드를 상황·모델·행동 기준으로 분화
32,pass,사이즈·치수,blog,의사결정,나이키 페가수스 사이즈,반업|US 사이즈|교환 전,"나이키 페가수스 사이즈 기준, 반업와 US 사이즈 차이",95,unique,clear,0.26,"나이키 vs 아식스, 러너 유형별 선택 기준",기존 일반 키워드를 상황·모델·행동 기준으로 분화
33,pass,사이즈·치수,blog,의사결정,호카 본디 사이즈,정사이즈|EU 사이즈|양말 두께,"호카 본디 사이즈 이해하기, 정사이즈·EU 사이즈 핵심",93,unique,clear,0.24,"러닝화 사이즈 변환, KR·US·EU 차이 정리",기존 일반 키워드를 상황·모델·행동 기준으로 분화
34,pass,사이즈·치수,blog,의사결정,아식스 카야노 사이즈,발볼|교환 전|오후 피팅,"아식스 카야노 사이즈 FAQ, 발볼와 교환 전 질문",93,unique,clear,0.29,미즈노 웨이브와 아식스 젤 쿠션 차이,기존 일반 키워드를 상황·모델·행동 기준으로 분화
35,pass,사이즈·치수,blog,의사결정,브룩스 고스트 사이즈,US 사이즈|양말 두께|반업,"브룩스 고스트 사이즈 기준, US 사이즈와 양말 두께 차이",95,unique,clear,0.40,"나이키 페가수스 사이즈 기준, 반업와 US 사이즈 차이",기존 일반 키워드를 상황·모델·행동 기준으로 분화
36,pass,사이즈·치수,blog,의사결정,뉴발란스 1080 사이즈,EU 사이즈|오후 피팅|정사이즈,"뉴발란스 1080 사이즈 이해하기, EU 사이즈·오후 피팅 핵심",93,unique,clear,0.38,"호카 본디 사이즈 이해하기, 정사이즈·EU 사이즈 핵심",기존 일반 키워드를 상황·모델·행동 기준으로 분화
37,pass,사이즈·치수,blog,의사결정,러닝화 반업 기준,교환 전|반업|발볼,"러닝화 반업 기준 FAQ, 교환 전와 반업 질문",95,unique,clear,0.26,"평발 러닝화 선택 기준, 안정화가 전부일까",기존 일반 키워드를 상황·모델·행동 기준으로 분화
38,pass,사이즈·치수,blog,의사결정,러닝화 정사이즈,양말 두께|정사이즈|US 사이즈,"러닝화 정사이즈 기준, 양말 두께와 정사이즈 차이",95,unique,clear,0.50,"브룩스 고스트 사이즈 기준, US 사이즈와 양말 두께 차이",기존 일반 키워드를 상황·모델·행동 기준으로 분화
39,pass,사이즈·치수,blog,의사결정,직구 러닝화 사이즈,오후 피팅|발볼|EU 사이즈,"직구 러닝화 사이즈 이해하기, 오후 피팅·발볼 핵심",93,unique,clear,0.48,"뉴발란스 1080 사이즈 이해하기, EU 사이즈·오후 피팅 핵심",기존 일반 키워드를 상황·모델·행동 기준으로 분화
40,pass,사이즈·치수,blog,의사결정,나이키 페가수스 사이즈,정사이즈|EU 사이즈|교환 전,"나이키 페가수스 사이즈 FAQ, 정사이즈와 EU 사이즈 질문",93,unique,clear,0.52,"나이키 페가수스 사이즈 기준, 반업와 US 사이즈 차이",기존 일반 키워드를 상황·모델·행동 기준으로 분화
41,pass,사이즈·치수,blog,의사결정,호카 본디 사이즈,발볼|교환 전|양말 두께,"호카 본디 사이즈 기준, 발볼와 교환 전 차이",95,unique,clear,0.43,"아식스 카야노 사이즈 FAQ, 발볼와 교환 전 질문",기존 일반 키워드를 상황·모델·행동 기준으로 분화
42,pass,사이즈·치수,blog,의사결정,아식스 카야노 사이즈,US 사이즈|양말 두께|오후 피팅,"아식스 카야노 사이즈 이해하기, US 사이즈·양말 두께 핵심",93,unique,clear,0.41,"브룩스 고스트 사이즈 기준, US 사이즈와 양말 두께 차이",기존 일반 키워드를 상황·모델·행동 기준으로 분화
43,pass,사이즈·치수,blog,의사결정,브룩스 고스트 사이즈,EU 사이즈|오후 피팅|반업,"브룩스 고스트 사이즈 FAQ, EU 사이즈와 오후 피팅 질문",93,unique,clear,0.40,"브룩스 고스트 사이즈 기준, US 사이즈와 양말 두께 차이",기존 일반 키워드를 상황·모델·행동 기준으로 분화
44,pass,사이즈·치수,blog,의사결정,뉴발란스 1080 사이즈,교환 전|반업|정사이즈,"뉴발란스 1080 사이즈 기준, 교환 전와 반업 차이",95,unique,clear,0.46,"호카 본디 사이즈 기준, 발볼와 교환 전 차이",기존 일반 키워드를 상황·모델·행동 기준으로 분화
45,pass,사이즈·치수,blog,의사결정,러닝화 반업 기준,양말 두께|정사이즈|발볼,"러닝화 반업 기준 이해하기, 양말 두께·정사이즈 핵심",95,unique,clear,0.62,"러닝화 정사이즈 기준, 양말 두께와 정사이즈 차이",기존 일반 키워드를 상황·모델·행동 기준으로 분화
46,pass,사이즈·치수,blog,의사결정,러닝화 정사이즈,오후 피팅|발볼|US 사이즈,"러닝화 정사이즈 FAQ, 오후 피팅와 발볼 질문",93,unique,clear,0.52,"직구 러닝화 사이즈 이해하기, 오후 피팅·발볼 핵심",기존 일반 키워드를 상황·모델·행동 기준으로 분화
47,pass,사이즈·치수,blog,의사결정,직구 러닝화 사이즈,반업|US 사이즈|EU 사이즈,"직구 러닝화 사이즈 기준, 반업와 US 사이즈 차이",95,unique,clear,0.50,"나이키 페가수스 사이즈 기준, 반업와 US 사이즈 차이",기존 일반 키워드를 상황·모델·행동 기준으로 분화
48,pass,사이즈·치수,blog,의사결정,나이키 페가수스 사이즈,발볼|교환 전|교환 전,"나이키 페가수스 사이즈 이해하기, 발볼·교환 전 핵심",93,unique,clear,0.38,"나이키 페가수스 사이즈 기준, 반업와 US 사이즈 차이",기존 일반 키워드를 상황·모델·행동 기준으로 분화
49,pass,사이즈·치수,blog,의사결정,호카 본디 사이즈,US 사이즈|양말 두께|양말 두께,"호카 본디 사이즈 FAQ, US 사이즈와 양말 두께 질문",93,unique,clear,0.42,"브룩스 고스트 사이즈 기준, US 사이즈와 양말 두께 차이",기존 일반 키워드를 상황·모델·행동 기준으로 분화
50,pass,사이즈·치수,blog,의사결정,아식스 카야노 사이즈,EU 사이즈|오후 피팅|오후 피팅,"아식스 카야노 사이즈 기준, EU 사이즈와 오후 피팅 차이",95,unique,clear,0.44,"브룩스 고스트 사이즈 FAQ, EU 사이즈와 오후 피팅 질문",기존 일반 키워드를 상황·모델·행동 기준으로 분화
51,pass,사이즈·치수,blog,의사결정,브룩스 고스트 사이즈,교환 전|반업|반업,"브룩스 고스트 사이즈 이해하기, 교환 전·반업 핵심",93,unique,clear,0.48,"나이키 페가수스 사이즈 이해하기, 발볼·교환 전 핵심",기존 일반 키워드를 상황·모델·행동 기준으로 분화
52,pass,사이즈·치수,blog,의사결정,뉴발란스 1080 사이즈,양말 두께|정사이즈|정사이즈,"뉴발란스 1080 사이즈 FAQ, 양말 두께와 정사이즈 질문",93,unique,clear,0.42,"뉴발란스 1080 사이즈 기준, 교환 전와 반업 차이",기존 일반 키워드를 상황·모델·행동 기준으로 분화
53,pass,사이즈·치수,blog,의사결정,러닝화 반업 기준,오후 피팅|발볼|발볼,"러닝화 반업 기준 기준, 오후 피팅와 발볼 차이",95,unique,clear,0.52,"러닝화 정사이즈 FAQ, 오후 피팅와 발볼 질문",기존 일반 키워드를 상황·모델·행동 기준으로 분화
54,pass,사이즈·치수,blog,의사결정,러닝화 정사이즈,반업|US 사이즈|US 사이즈,"러닝화 정사이즈 이해하기, 반업·US 사이즈 핵심",93,unique,clear,0.67,"러닝화 반업 기준 이해하기, 양말 두께·정사이즈 핵심",기존 일반 키워드를 상황·모델·행동 기준으로 분화
55,pass,사이즈·치수,blog,의사결정,직구 러닝화 사이즈,정사이즈|EU 사이즈|EU 사이즈,"직구 러닝화 사이즈 FAQ, 정사이즈와 EU 사이즈 질문",93,unique,clear,0.50,"러닝화 정사이즈 FAQ, 오후 피팅와 발볼 질문",기존 일반 키워드를 상황·모델·행동 기준으로 분화
56,pass,사이즈·치수,blog,의사결정,나이키 페가수스 사이즈,US 사이즈|양말 두께|교환 전,"나이키 페가수스 사이즈 기준, US 사이즈와 양말 두께 차이",95,unique,clear,0.71,"나이키 페가수스 사이즈 기준, 반업와 US 사이즈 차이",기존 일반 키워드를 상황·모델·행동 기준으로 분화
57,pass,사이즈·치수,blog,의사결정,호카 본디 사이즈,EU 사이즈|오후 피팅|양말 두께,"호카 본디 사이즈 이해하기, EU 사이즈·오후 피팅 핵심",93,unique,clear,0.74,"호카 본디 사이즈 이해하기, 정사이즈·EU 사이즈 핵심",기존 일반 키워드를 상황·모델·행동 기준으로 분화
58,pass,사이즈·치수,blog,의사결정,아식스 카야노 사이즈,교환 전|반업|오후 피팅,"아식스 카야노 사이즈 FAQ, 교환 전와 반업 질문",93,unique,clear,0.79,"아식스 카야노 사이즈 FAQ, 발볼와 교환 전 질문",기존 일반 키워드를 상황·모델·행동 기준으로 분화
59,pass,사이즈·치수,blog,의사결정,러닝화 반업 기준,반업|US 사이즈|발볼,"러닝화 반업 기준 FAQ, 반업와 US 사이즈 질문",95,unique,clear,0.72,"직구 러닝화 사이즈 기준, 반업와 US 사이즈 차이",기존 일반 키워드를 상황·모델·행동 기준으로 분화
60,pass,사이즈·치수,blog,의사결정,러닝화 정사이즈,정사이즈|EU 사이즈|US 사이즈,"러닝화 정사이즈 기준, 정사이즈와 EU 사이즈 차이",95,unique,clear,0.65,"러닝화 정사이즈 기준, 양말 두께와 정사이즈 차이",기존 일반 키워드를 상황·모델·행동 기준으로 분화
61,pass,사이즈·치수,blog,의사결정,직구 러닝화 사이즈,발볼|교환 전|EU 사이즈,"직구 러닝화 사이즈 이해하기, 발볼·교환 전 핵심",93,unique,clear,0.68,"직구 러닝화 사이즈 이해하기, 오후 피팅·발볼 핵심",기존 일반 키워드를 상황·모델·행동 기준으로 분화
62,pass,사이즈·치수,blog,의사결정,나이키 페가수스 사이즈,EU 사이즈|오후 피팅|교환 전,"나이키 페가수스 사이즈 FAQ, EU 사이즈와 오후 피팅 질문",93,unique,clear,0.74,"나이키 페가수스 사이즈 FAQ, 정사이즈와 EU 사이즈 질문",기존 일반 키워드를 상황·모델·행동 기준으로 분화
63,pass,사이즈·치수,blog,의사결정,호카 본디 사이즈,교환 전|반업|양말 두께,"호카 본디 사이즈 기준, 교환 전와 반업 차이",95,unique,clear,0.78,"호카 본디 사이즈 기준, 발볼와 교환 전 차이",기존 일반 키워드를 상황·모델·행동 기준으로 분화
64,pass,브랜드·모델 비교,blog,비교형,본디와 클리프톤,쿠션감|데일리런|안정성,"본디와 클리프톤, 쿠션감와 데일리런 중 먼저 볼 기준",95,unique,clear,0.23,"러닝화 추천 기준, 쿠셔닝보다 먼저 볼 것",기존 일반 키워드를 상황·모델·행동 기준으로 분화
65,pass,브랜드·모델 비교,blog,비교형,1080과 모어,발볼|무게|회복주,"1080과 모어 선택 기준, 발볼보다 무게가 중요할 때",95,unique,clear,0.27,과외전 러너가 꼭 알아야 할 신발 선택 기준,기존 일반 키워드를 상황·모델·행동 기준으로 분화
66,pass,브랜드·모델 비교,blog,비교형,카야노와 GT-2000,장거리|안정성|가격대,"카야노와 GT-2000 고르는 법, 장거리·안정성 실패 줄이기",93,unique,clear,0.23,"러닝화 발가락 통증 안 맞는 이유, 장거리 붓기·뒤꿈치 고정 확인",기존 일반 키워드를 상황·모델·행동 기준으로 분화
67,pass,브랜드·모델 비교,blog,비교형,고스트와 글리세린,데일리런|회복주|쿠션감,"고스트와 글리세린, 데일리런와 회복주 중 먼저 볼 기준",95,unique,clear,0.39,"본디와 클리프톤, 쿠션감와 데일리런 중 먼저 볼 기준",기존 일반 키워드를 상황·모델·행동 기준으로 분화
68,pass,브랜드·모델 비교,blog,비교형,페가수스와 보메로,무게|가격대|발볼,"페가수스와 보메로 선택 기준, 무게보다 가격대가 중요할 때",95,unique,clear,0.45,"1080과 모어 선택 기준, 발볼보다 무게가 중요할 때",기존 일반 키워드를 상황·모델·행동 기준으로 분화
69,pass,브랜드·모델 비교,blog,비교형,노바블라스트와 님버스,안정성|쿠션감|장거리,"노바블라스트와 님버스 고르는 법, 안정성·쿠션감 실패 줄이기",93,unique,clear,0.42,"카야노와 GT-2000 고르는 법, 장거리·안정성 실패 줄이기",기존 일반 키워드를 상황·모델·행동 기준으로 분화
70,pass,브랜드·모델 비교,blog,비교형,레벨과 보스턴,회복주|발볼|데일리런,"레벨과 보스턴, 회복주와 발볼 중 먼저 볼 기준",95,unique,clear,0.42,"고스트와 글리세린, 데일리런와 회복주 중 먼저 볼 기준",기존 일반 키워드를 상황·모델·행동 기준으로 분화
71,pass,브랜드·모델 비교,blog,비교형,클라우드몬스터와 본디,가격대|장거리|무게,"클라우드몬스터와 본디 선택 기준, 가격대보다 장거리가 중요할 때",95,unique,clear,0.47,"페가수스와 보메로 선택 기준, 무게보다 가격대가 중요할 때",기존 일반 키워드를 상황·모델·행동 기준으로 분화
72,pass,브랜드·모델 비교,blog,비교형,트라이엄프와 글리세린,쿠션감|데일리런|안정성,"트라이엄프와 글리세린 고르는 법, 쿠션감·데일리런 실패 줄이기",93,unique,clear,0.45,"노바블라스트와 님버스 고르는 법, 안정성·쿠션감 실패 줄이기",기존 일반 키워드를 상황·모델·행동 기준으로 분화
73,pass,브랜드·모델 비교,blog,비교형,본디와 클리프톤,장거리|안정성|회복주,"본디와 클리프톤, 장거리와 안정성 중 먼저 볼 기준",95,unique,clear,0.54,"본디와 클리프톤, 쿠션감와 데일리런 중 먼저 볼 기준",기존 일반 키워드를 상황·모델·행동 기준으로 분화
74,pass,브랜드·모델 비교,blog,비교형,1080과 모어,데일리런|회복주|가격대,"1080과 모어 선택 기준, 데일리런보다 회복주가 중요할 때",95,unique,clear,0.61,"1080과 모어 선택 기준, 발볼보다 무게가 중요할 때",기존 일반 키워드를 상황·모델·행동 기준으로 분화
75,pass,브랜드·모델 비교,blog,비교형,카야노와 GT-2000,무게|가격대|쿠션감,"카야노와 GT-2000 고르는 법, 무게·가격대 실패 줄이기",93,unique,clear,0.61,"카야노와 GT-2000 고르는 법, 장거리·안정성 실패 줄이기",기존 일반 키워드를 상황·모델·행동 기준으로 분화
76,pass,브랜드·모델 비교,blog,비교형,고스트와 글리세린,안정성|쿠션감|발볼,"고스트와 글리세린, 안정성와 쿠션감 중 먼저 볼 기준",95,unique,clear,0.54,"고스트와 글리세린, 데일리런와 회복주 중 먼저 볼 기준",기존 일반 키워드를 상황·모델·행동 기준으로 분화
77,pass,브랜드·모델 비교,blog,비교형,페가수스와 보메로,회복주|발볼|장거리,"페가수스와 보메로 선택 기준, 회복주보다 발볼가 중요할 때",95,unique,clear,0.65,"페가수스와 보메로 선택 기준, 무게보다 가격대가 중요할 때",기존 일반 키워드를 상황·모델·행동 기준으로 분화
78,pass,브랜드·모델 비교,blog,비교형,노바블라스트와 님버스,가격대|장거리|데일리런,"노바블라스트와 님버스 고르는 법, 가격대·장거리 실패 줄이기",93,unique,clear,0.60,"노바블라스트와 님버스 고르는 법, 안정성·쿠션감 실패 줄이기",기존 일반 키워드를 상황·모델·행동 기준으로 분화
79,pass,브랜드·모델 비교,blog,비교형,레벨과 보스턴,쿠션감|데일리런|무게,"레벨과 보스턴, 쿠션감와 데일리런 중 먼저 볼 기준",95,unique,clear,0.56,"본디와 클리프톤, 쿠션감와 데일리런 중 먼저 볼 기준",기존 일반 키워드를 상황·모델·행동 기준으로 분화
80,pass,브랜드·모델 비교,blog,비교형,클라우드몬스터와 본디,발볼|무게|안정성,"클라우드몬스터와 본디 선택 기준, 발볼보다 무게가 중요할 때",95,unique,clear,0.70,"클라우드몬스터와 본디 선택 기준, 가격대보다 장거리가 중요할 때",기존 일반 키워드를 상황·모델·행동 기준으로 분화
81,pass,브랜드·모델 비교,blog,비교형,트라이엄프와 글리세린,장거리|안정성|회복주,"트라이엄프와 글리세린 고르는 법, 장거리·안정성 실패 줄이기",93,unique,clear,0.62,"트라이엄프와 글리세린 고르는 법, 쿠션감·데일리런 실패 줄이기",기존 일반 키워드를 상황·모델·행동 기준으로 분화
82,pass,브랜드·모델 비교,blog,비교형,본디와 클리프톤,무게|가격대|가격대,"본디와 클리프톤, 무게와 가격대 중 먼저 볼 기준",95,unique,clear,0.57,"본디와 클리프톤, 장거리와 안정성 중 먼저 볼 기준",기존 일반 키워드를 상황·모델·행동 기준으로 분화
83,pass,브랜드·모델 비교,blog,비교형,1080과 모어,안정성|쿠션감|쿠션감,"1080과 모어 선택 기준, 안정성보다 쿠션감가 중요할 때",95,unique,clear,0.63,"1080과 모어 선택 기준, 발볼보다 무게가 중요할 때",기존 일반 키워드를 상황·모델·행동 기준으로 분화
84,pass,브랜드·모델 비교,blog,비교형,카야노와 GT-2000,회복주|발볼|발볼,"카야노와 GT-2000 고르는 법, 회복주·발볼 실패 줄이기",93,unique,clear,0.63,"카야노와 GT-2000 고르는 법, 무게·가격대 실패 줄이기",기존 일반 키워드를 상황·모델·행동 기준으로 분화
